State,MedianAge
Alabama,39
Alaska,34
Arizona,38
Arkansas,38
California,37
Colorado,37
Connecticut,41
Delaware,41
Florida,42
Georgia,37
Hawaii,39
Idaho,36
Illinois,38
Indiana,38
Iowa,38
Kansas,37
Kentucky,39
Louisiana,37
Maine,45
Maryland,39
Massachusetts,40
Michigan,40
Minnesota,38
Mississippi,38
Missouri,39
Montana,40
Nebraska,37
Nevada,38
New Hampshire,43
New Jersey,40
New Mexico,38
New York,39
North Carolina,39
North Dakota,35
Ohio,39
Oklahoma,37
Oregon,39
Pennsylvania,41
Rhode Island,40
South Carolina,39
South Dakota,37
Tennessee,39
Texas,35
Utah,31
Vermont,43
Virginia,38
Washington,38
West Virginia,43
Wisconsin,40
Wyoming,38
